stock_id,n_val_rows,MAE,RMSE,corr,directional_accuracy,MAE_zero_baseline,MAE_reduction_vs_zero_pct,mean_spread,mean_matched_size,mean_realized_vol,mean_abs_imbalance_ratio,n_obs
71,3960,5.770568768034138,7.831279262973605,0.31522035165678847,0.6174242424242424,6.136138629389394,5.957653231697491,0.0008199209415584412,36398482.515387446,0.0004613696771424384,0.2418298907255133,18480
72,3960,4.347075905229639,5.7410956629914836,0.1869055966082436,0.55,4.417679374823737,1.598202667139352,0.0002247772186147191,71999447.71538529,0.00035090279777481295,0.1969269353668674,18480
73,3960,5.760648612621525,7.741638401465521,0.05527794498208967,0.5131313131313131,5.760013608764899,-0.011024346464386783,0.000416075115332429,12020024.963939212,0.00028418233586971736,0.26409160392121567,18425
74,3960,6.33735400225114,8.39909546029466,0.30043167641877,0.6045454545454545,6.6476179792901515,4.667295533612209,0.0007978912337662339,24068674.04692262,0.0005537923709695801,0.17035590816223015,18480
75,3960,4.52801048879669,6.090446758305612,0.17566083378055433,0.5686868686868687,4.634557499287626,2.29896835905722,0.0003547059523809526,27377494.05774513,0.0003770421691510942,0.18007141268977594,18480
76,3960,5.547482264633296,7.46788426285254,0.09812722512127833,0.546969696969697,5.602723719220959,0.9859749892387039,0.0003661056277056268,8374266.576498918,0.0003189068532760471,0.22018618342842008,18480
77,3960,5.184581548017921,6.936237772627333,0.2664014149880022,0.5904040404040404,5.4044601602053035,4.0684657795503005,0.00041841201298701343,42657655.59995616,0.0003515274043395791,0.19770997771650553,18480
78,3960,8.382236931751768,11.388768897989705,0.03638279677812123,0.5098484848484849,8.352092274458334,-0.36092342257304444,0.0008780808324205898,5195391.71628368,0.0005278783092283913,0.5970224488257497,18260
79,3960,7.894896708548839,10.808834225388724,0.10340470843421108,0.5103535353535353,7.918731433201767,0.30099170370892026,0.0007451303225806447,18817615.40950616,0.00045816815204485013,0.26828722073288874,8525
80,3960,10.460788316047605,14.158280128447222,0.16488266558058637,0.578030303030303,10.649754549452526,1.7743717240378571,0.0009420677489177489,4748183.892039502,0.0007078792519672384,0.35212146619237145,18480
81,3960,7.498062241591353,10.384648092837542,0.23134679923281157,0.5805555555555556,7.760690920039142,3.3840888801491444,0.0007338491883116886,13636662.847012985,0.0005069600991230443,0.2465549960194376,18480
82,3960,20.42134867997065,34.74065828234788,0.017099000859442687,0.5035353535353535,20.32031870661288,-0.497186952707045,0.001647073593073592,4711123.731713745,0.0005631034872305387,0.43645962669596317,18480
