time_window,window_start,signal,n_train,n_val,pearson_r,pearson_p,spearman_r,spearman_p,mae_model,mae_baseline,mae_reduction_pct,decile_spread_bps,snr
300-360,300,auction_imbalance_ratio,397404,86394,0.033518225805228404,6.548331362223994e-23,0.03527134401974766,3.3834726693974067e-25,6.24411415301806,6.244728662320821,0.009840448416411178,1.2342681340017498,0.0011247350688814999
300-360,300,matched_size_ratio,397404,86394,-0.003677455739895555,0.2797428018998382,-0.00936927730164497,0.005888637523348869,6.2446352982637245,6.244728662320821,0.0014950858899519831,0.030488263804520556,1.352386361130433e-05
300-360,300,market_urgency,397404,86394,-0.11279740836665708,1.4589959371288457e-242,-0.1308466941752473,0.0,6.19554362809347,6.244728662320821,0.7876248414782359,-4.616830774791898,0.01288722275995851
360-420,360,liquidity_imbalance,397416,86394,-0.10629996308287082,1.661033985951335e-215,-0.12319101235615046,2.893491181200871e-289,5.554901657669765,5.591280875902976,0.6506419376997596,-3.054646157499074,0.011428824232612664
360-420,360,auction_imbalance_ratio,397404,86394,-0.009694874797084203,0.0043770617111560835,-0.022966922173479405,1.4639783946119977e-11,5.59236314044228,5.591280311239098,-0.019366390932061044,-0.10545294732502372,9.399943239393798e-05
360-420,360,matched_size_ratio,397404,86394,-0.01373486249987536,5.409286037664934e-05,-0.00032469200644891385,0.923969415072387,5.591055950414255,5.591280311239098,0.004012691411520309,-0.3211870072185487,0.00018868204208750296
360-420,360,market_urgency,397404,86394,-0.08968564127219224,9.454368785872697e-154,-0.12568223189579986,4.352728291691453e-301,5.564918481291459,5.591280311239098,0.4714811005745663,-3.515068305854051,0.008108736991951897
420-480,420,liquidity_imbalance,397416,86394,-0.0942417282830871,1.2574905501035386e-169,-0.11260195987077552,1.004339862071085e-241,5.248032832639895,5.2759166376855795,0.5285110997871341,-2.5998782386497683,0.008961091312291046
420-480,420,auction_imbalance_ratio,397404,86394,0.02444186709071945,6.714217997565372e-13,-0.03417883145995861,9.287479442809863e-24,5.2746446029013745,5.275915876151346,0.024095783174209365,1.2423664465846063,0.0005977619727921764
420-480,420,matched_size_ratio,397404,86394,-0.006013557264302823,0.07713672371497715,0.008895146733821482,0.008934466766204853,5.277140132079695,5.275915876151346,-0.023204614271491363,-0.16730368945260893,3.616417877157994e-05
420-480,420,market_urgency,397404,86394,-0.06509791465284415,8.932551748484974e-82,-0.1184850781366479,1.3499445283227763e-267,5.256168939103412,5.275915876151346,0.37428453204107703,-2.986665763873363,0.004255773346674044
480-540,480,liquidity_imbalance,463651,100793,-0.05341287773740043,1.3839232146879728e-64,-0.0627350595942651,1.9647222819996505e-88,5.492031631226954,5.4973153716243415,0.09611492228844226,-1.8024492499834324,0.002861098036370863
480-540,480,auction_imbalance_ratio,463638,100793,0.04456959132872067,1.6960247652558763e-45,0.06387676971005402,1.2852749603651097e-91,5.486568018105542,5.497316111882479,0.19551529433981063,1.986569974640179,0.0019904023028207017
480-540,480,matched_size_ratio,463638,100793,-0.0184843764106343,4.388748594345176e-09,0.009158479988712512,0.003641542541706307,5.498279694561969,5.497316111882479,-0.017528238505463582,-0.23418735838458543,0.00034178895106304645
480-540,480,market_urgency,463638,100793,-0.04222045302861657,5.289176550951666e-41,-0.06682696189854206,4.109662121614169e-100,5.496279204016116,5.497316111882479,0.018862074606211685,-2.2388865247888887,0.0017857498721159325
